,mh,width,xsec,exsec,xsec_acc,exsec_acc
0,105.0,10.0,0.7618510000000001,0.0032122,0.756342,0.0031597
1,115.0,10.0,0.539458,0.0022979,0.5407609999999999,0.0022099000000000003
2,125.0,10.0,0.39220800000000006,0.0016864,0.390926,0.0016689
3,135.0,10.0,0.28224,0.0013603,0.279029,0.001426
4,145.0,10.0,0.213059,0.0012439,0.201889,0.0011453
5,155.0,10.0,0.159271,0.00083038,0.149558,0.00080511
6,165.0,10.0,0.121134,0.00074303,0.10966100000000001,0.00058045
7,175.0,10.0,0.0936822,0.0006205500000000001,0.0837358,0.00045053
8,185.0,10.0,0.0726849,0.00045118999999999997,0.0637351,0.00036917
9,195.0,10.0,0.0568151,0.00033081,0.0485374,0.00025835
10,205.0,10.0,0.0449858,0.00026758,0.0380877,0.00021646000000000002
11,215.0,10.0,0.036145699999999996,0.00025538,0.0308093,0.00019323999999999999
12,225.0,10.0,0.0290188,0.00019285,0.0242185,0.00016823
13,235.0,10.0,0.023554600000000002,0.00015032,0.0194911,0.00012317
14,245.0,10.0,0.0195358,0.00013169,0.0160393,9.503e-05
15,255.0,10.0,0.0161393,0.00011438,0.0128896,7.8532e-05
16,265.0,10.0,0.0133994,9.100200000000001e-05,0.010730700000000001,6.408600000000001e-05
17,275.0,10.0,0.0110536,7.5904e-05,0.00892234,5.4381e-05
18,285.0,10.0,0.00929463,6.689e-05,0.00746083,5.8165e-05
19,295.0,10.0,0.00764622,6.2622e-05,0.00618016,4.4386000000000005e-05
20,305.0,10.0,0.00653263,4.9279999999999996e-05,0.00522271,2.9667e-05
21,315.0,10.0,0.00553498,4.3444000000000006e-05,0.00439833,3.0182e-05
22,325.0,10.0,0.0046948,4.1018e-05,0.00372321,2.2856000000000003e-05
23,335.0,10.0,0.004055049999999999,2.5690000000000003e-05,0.0032072900000000002,1.9437e-05
24,345.0,10.0,0.00346935,2.9886e-05,0.00275059,1.6978e-05
