mh,hbb,htautau,hmumu,hcc,htt,hgluglu,hgg,hzg,hww,hzz
100.00,2.011E-03,2.068E-04,7.325E-07,9.852E-05,0.000E+00,1.674E-04,4.035E-06,1.226E-07,2.670E-05,2.775E-06
105.00,2.092E-03,2.172E-04,7.694E-07,1.024E-04,0.000E+00,1.924E-04,4.804E-06,4.539E-07,6.218E-05,5.627E-06
110.00,2.170E-03,2.275E-04,8.058E-07,1.063E-04,0.000E+00,2.198E-04,5.699E-06,1.114E-06,1.327E-04,1.234E-05
115.00,2.250E-03,2.379E-04,8.425E-07,1.101E-04,0.000E+00,2.499E-04,6.746E-06,2.215E-06,2.613E-04,2.688E-05
120.00,2.328E-03,2.483E-04,8.791E-07,1.140E-04,0.000E+00,2.827E-04,7.977E-06,3.881E-06,4.826E-04,5.536E-05
125.00,2.406E-03,2.587E-04,9.159E-07,1.178E-04,0.000E+00,3.185E-04,9.428E-06,6.266E-06,8.489E-04,1.066E-04
125.09,2.407E-03,2.589E-04,9.166E-07,1.179E-04,0.000E+00,3.191E-04,9.460E-06,6.313E-06,8.573E-04,1.078E-04
130.00,2.483E-03,2.690E-04,9.526E-07,1.216E-04,0.000E+00,3.572E-04,1.116E-05,9.555E-06,1.442E-03,1.933E-04
135.00,2.560E-03,2.794E-04,9.890E-07,1.253E-04,0.000E+00,3.992E-04,1.326E-05,1.403E-05,2.399E-03,3.335E-04
140.00,2.637E-03,2.898E-04,1.025E-06,1.290E-04,0.000E+00,4.445E-04,1.584E-05,2.007E-05,3.963E-03,5.531E-04
145.00,2.712E-03,3.002E-04,1.062E-06,1.327E-04,0.000E+00,4.933E-04,1.911E-05,2.832E-05,6.623E-03,8.900E-04
150.00,2.787E-03,3.105E-04,1.099E-06,1.364E-04,0.000E+00,5.459E-04,2.347E-05,3.998E-05,1.159E-02,1.403E-03
160.00,2.938E-03,3.313E-04,1.172E-06,1.438E-04,0.000E+00,6.629E-04,4.336E-05,9.587E-05,7.105E-02,3.402E-03
170.00,3.088E-03,3.521E-04,1.246E-06,1.511E-04,0.000E+00,7.975E-04,5.812E-05,1.518E-04,3.466E-01,8.791E-03
180.00,3.233E-03,3.728E-04,1.319E-06,1.582E-04,0.000E+00,9.509E-04,6.441E-05,1.864E-04,5.603E-01,3.694E-02
190.00,3.376E-03,3.935E-04,1.392E-06,1.652E-04,0.000E+00,1.125E-03,7.011E-05,2.195E-04,7.758E-01,2.093E-01
200.00,3.519E-03,4.144E-04,1.466E-06,1.723E-04,0.000E+00,1.325E-03,7.535E-05,2.512E-04,1.013E+00,3.521E-01
210.00,3.659E-03,4.349E-04,1.539E-06,1.790E-04,0.000E+00,1.549E-03,8.011E-05,2.810E-04,1.280E+00,4.879E-01
220.00,3.798E-03,4.557E-04,1.612E-06,1.859E-04,0.000E+00,1.804E-03,8.450E-05,3.093E-04,1.584E+00,6.319E-01
230.00,3.938E-03,4.765E-04,1.685E-06,1.927E-04,0.000E+00,2.093E-03,8.855E-05,3.360E-04,1.928E+00,7.904E-01
240.00,4.636E-03,5.657E-04,2.000E-06,2.269E-04,0.000E+00,2.754E-03,1.050E-04,4.108E-04,2.317E+00,9.673E-01
250.00,4.214E-03,5.178E-04,1.832E-06,2.062E-04,0.000E+00,2.792E-03,9.572E-05,3.849E-04,2.750E+00,1.166E+00
260.00,4.351E-03,5.384E-04,1.905E-06,2.129E-04,1.946E-07,3.215E-03,9.890E-05,4.072E-04,3.232E+00,1.386E+00
270.00,4.487E-03,5.592E-04,1.978E-06,2.195E-04,1.235E-05,3.699E-03,1.018E-04,4.282E-04,3.765E+00,1.632E+00
280.00,4.689E-03,5.885E-04,2.081E-06,2.294E-04,7.015E-05,4.315E-03,1.061E-04,4.545E-04,4.351E+00,1.904E+00
290.00,4.756E-03,6.008E-04,2.125E-06,2.328E-04,2.247E-04,4.894E-03,1.071E-04,4.665E-04,4.992E+00,2.202E+00
300.00,4.890E-03,6.215E-04,2.198E-06,2.393E-04,5.767E-04,5.644E-03,1.094E-04,4.840E-04,5.690E+00,2.529E+00
310.00,5.023E-03,6.423E-04,2.271E-06,2.458E-04,1.317E-03,6.529E-03,1.116E-04,5.004E-04,6.446E+00,2.885E+00
320.00,5.155E-03,6.629E-04,2.345E-06,2.522E-04,2.862E-03,7.597E-03,1.137E-04,5.157E-04,7.264E+00,3.271E+00
330.00,5.288E-03,6.838E-04,2.418E-06,2.588E-04,6.306E-03,8.934E-03,1.157E-04,5.304E-04,8.147E+00,3.689E+00
340.00,5.420E-03,7.046E-04,2.492E-06,2.653E-04,1.617E-02,1.073E-02,1.177E-04,5.438E-04,9.091E+00,4.139E+00
350.00,5.549E-03,7.250E-04,2.564E-06,2.715E-04,2.420E-01,1.363E-02,1.156E-04,5.537E-04,1.010E+01,4.623E+00
360.00,5.680E-03,7.459E-04,2.637E-06,2.780E-04,9.160E-01,1.649E-02,1.072E-04,5.575E-04,1.118E+01,5.140E+00
370.00,5.810E-03,7.667E-04,2.711E-06,2.843E-04,1.705E+00,1.908E-02,9.822E-05,5.587E-04,1.233E+01,5.694E+00
380.00,5.939E-03,7.873E-04,2.784E-06,2.907E-04,2.550E+00,2.146E-02,8.922E-05,5.584E-04,1.356E+01,6.285E+00
390.00,6.067E-03,8.080E-04,2.856E-06,2.969E-04,3.426E+00,2.367E-02,8.052E-05,5.567E-04,1.485E+01,6.910E+00
400.00,6.195E-03,8.288E-04,2.931E-06,3.032E-04,4.315E+00,2.573E-02,7.226E-05,5.545E-04,1.623E+01,7.574E+00
410.00,6.324E-03,8.495E-04,3.004E-06,3.094E-04,5.206E+00,2.764E-02,6.451E-05,5.516E-04,1.769E+01,8.278E+00
420.00,6.449E-03,8.700E-04,3.077E-06,3.156E-04,6.093E+00,2.943E-02,5.730E-05,5.484E-04,1.922E+01,9.022E+00
430.00,6.578E-03,8.909E-04,3.150E-06,3.218E-04,6.975E+00,3.112E-02,5.064E-05,5.450E-04,2.084E+01,9.808E+00
440.00,6.703E-03,9.118E-04,3.224E-06,3.280E-04,7.843E+00,3.271E-02,4.447E-05,5.411E-04,2.254E+01,1.064E+01
450.00,6.829E-03,9.322E-04,3.297E-06,3.342E-04,8.701E+00,3.420E-02,3.885E-05,5.369E-04,2.432E+01,1.150E+01
460.00,6.954E-03,9.531E-04,3.370E-06,3.403E-04,9.545E+00,3.561E-02,3.373E-05,5.327E-04,2.620E+01,1.242E+01
470.00,7.082E-03,9.741E-04,3.444E-06,3.464E-04,1.038E+01,3.694E-02,2.911E-05,5.287E-04,2.816E+01,1.338E+01
