mh,hbb,htautau,hmumu,hcc,htt,hgluglu,hgg,hzg,hww,hzz,htot_pythia
100.0,0.002011,0.0002068,7.325e-07,9.852e-05,0.0,0.0001674,4.035e-06,1.226e-07,2.67e-05,2.775e-06,0.002451842635459879
105.0,0.002092,0.0002172,7.694e-07,0.0001024,0.0,0.0001924,4.804e-06,4.539e-07,6.218e-05,5.627e-06,0.0026165580192195306
110.0,0.00217,0.0002275,8.058e-07,0.0001063,0.0,0.0002198,5.699e-06,1.114e-06,0.0001327,1.234e-05,0.002824543745921467
115.0,0.00225,0.0002379,8.425e-07,0.0001101,0.0,0.0002499,6.746e-06,2.215e-06,0.0002613,2.688e-05,0.003105069126215728
120.0,0.002328,0.0002483,8.791e-07,0.000114,0.0,0.0002827,7.977e-06,3.881e-06,0.0004826,5.536e-05,0.0035023645225112495
125.0,0.002406,0.0002587,9.159e-07,0.0001178,0.0,0.0003185,9.428e-06,6.266e-06,0.0008489,0.0001066,0.004083428388965407
130.0,0.002483,0.000269,9.526e-07,0.0001216,0.0,0.0003572,1.116e-05,9.555e-06,0.001442,0.0001933,0.004950880845616049
135.0,0.00256,0.0002794,9.89e-07,0.0001253,0.0,0.0003992,1.326e-05,1.403e-05,0.002399,0.0003335,0.00627212832328606
140.0,0.002637,0.0002898,1.025e-06,0.000129,0.0,0.0004445,1.584e-05,2.007e-05,0.003963,0.0005531,0.008340043914661033
145.0,0.002712,0.0003002,1.062e-06,0.0001327,0.0,0.0004933,1.911e-05,2.832e-05,0.006623,0.00089,0.011731506558003767
150.0,0.002787,0.0003105,1.099e-06,0.0001364,0.0,0.0005459,2.347e-05,3.998e-05,0.01159,0.001403,0.01782841985381323
160.0,0.002938,0.0003313,1.172e-06,0.0001438,0.0,0.0006629,4.336e-05,9.587e-05,0.07105,0.003402,0.08481813523074738
170.0,0.003088,0.0003521,1.246e-06,0.0001511,0.0,0.0007975,5.812e-05,0.0001518,0.3466,0.008791,0.3887120103815985
180.0,0.003233,0.0003728,1.319e-06,0.0001582,0.0,0.0009509,6.441e-05,0.0001864,0.5603,0.03694,0.6540491582659704
190.0,0.003376,0.0003935,1.392e-06,0.0001652,0.0,0.001125,7.011e-05,0.0002195,0.7758,0.2093,1.0759954988778517
200.0,0.003519,0.0004144,1.466e-06,0.0001723,0.0,0.001325,7.535e-05,0.0002512,1.013,0.3521,1.4916065107820184
210.0,0.003659,0.0004349,1.539e-06,0.000179,0.0,0.001549,8.011e-05,0.000281,1.28,0.4879,1.9400349027136627
220.0,0.003798,0.0004557,1.612e-06,0.0001859,0.0,0.001804,8.45e-05,0.0003093,1.584,0.6319,2.431644376857875
230.0,0.003938,0.0004765,1.685e-06,0.0001927,0.0,0.002093,8.855e-05,0.000336,1.928,0.7904,2.9844717362200233
240.0,0.004636,0.0005657,2e-06,0.0002269,0.0,0.002754,0.000105,0.0004108,2.317,0.9673,3.608560017543178
250.0,0.004214,0.0005178,1.832e-06,0.0002062,0.0,0.002792,9.572e-05,0.0003849,2.75,1.166,4.378351344921261
260.0,0.004351,0.0005384,1.905e-06,0.0002129,1.946e-07,0.003215,9.89e-05,0.0004072,3.232,1.386,5.164232166759489
270.0,0.004487,0.0005592,1.978e-06,0.0002195,1.235e-05,0.003699,0.0001018,0.0004282,3.765,1.632,6.034190985807685
280.0,0.004689,0.0005885,2.081e-06,0.0002294,7.015e-05,0.004315,0.0001061,0.0004545,4.351,1.904,7.047368376352799
290.0,0.004756,0.0006008,2.125e-06,0.0002328,0.0002247,0.004894,0.0001071,0.0004665,4.992,2.202,8.105647065850446
300.0,0.00489,0.0006215,2.198e-06,0.0002393,0.0005767,0.005644,0.0001094,0.000484,5.69,2.529,9.260976031859714
310.0,0.005023,0.0006423,2.271e-06,0.0002458,0.001317,0.006529,0.0001116,0.0005004,6.446,2.885,10.517301082860214
320.0,0.005155,0.0006629,2.345e-06,0.0002522,0.002862,0.007597,0.0001137,0.0005157,7.264,3.271,11.879114112487917
330.0,0.005288,0.0006838,2.418e-06,0.0002588,0.006306,0.008934,0.0001157,0.0005304,8.147,3.689,13.35019991832024
340.0,0.00542,0.0007046,2.492e-06,0.0002653,0.01617,0.01073,0.0001177,0.0005438,9.091,4.139,14.937186899201304
