mh,xsec
80.00,1.028E+02
85.00,9.252E+01
90.00,8.378E+01
95.00,7.627E+01
100.00,6.977E+01
105.00,6.410E+01
110.00,5.910E+01
115.00,5.468E+01
120.00,5.076E+01
125.00,4.725E+01
130.00,4.411E+01
135.00,4.127E+01
140.00,3.871E+01
145.00,3.639E+01
150.00,3.428E+01
160.00,3.059E+01
170.00,2.748E+01
180.00,2.485E+01
190.00,2.261E+01
200.00,2.070E+01
210.00,1.905E+01
220.00,1.762E+01
230.00,1.637E+01
240.00,1.530E+01
250.00,1.437E+01
260.00,1.356E+01
270.00,1.287E+01
280.00,1.228E+01
290.00,1.179E+01
300.00,1.139E+01
310.00,1.110E+01
320.00,1.092E+01
330.00,1.089E+01
340.00,1.111E+01
350.00,1.197E+01
360.00,1.243E+01
370.00,1.245E+01
380.00,1.219E+01
390.00,1.174E+01
400.00,1.118E+01
410.00,1.056E+01
420.00,9.917E+00
430.00,9.265E+00
440.00,8.624E+00
450.00,8.007E+00
460.00,7.417E+00
470.00,6.861E+00
480.00,6.340E+00
490.00,5.854E+00
500.00,5.401E+00
550.00,3.601E+00
600.00,2.413E+00
650.00,1.636E+00
700.00,1.124E+00
750.00,7.826E-01
800.00,5.527E-01
850.00,3.951E-01
900.00,2.858E-01
950.00,2.093E-01
1000.00,1.547E-01
1050.00,1.156E-01
1100.00,8.707E-02
1150.00,6.617E-02
1200.00,5.068E-02
1250.00,3.909E-02
1300.00,3.037E-02
1350.00,2.374E-02
1400.00,1.867E-02
1450.00,1.477E-02
1500.00,1.174E-02
1550.00,9.382E-03
1600.00,7.529E-03
1650.00,6.074E-03
1700.00,4.920E-03
1750.00,3.998E-03
1800.00,3.261E-03
1850.00,2.672E-03
1900.00,2.196E-03
1950.00,1.810E-03
2000.00,1.497E-03
2050.00,1.241E-03
2100.00,1.032E-03
2150.00,8.606E-04
2200.00,7.200E-04
2250.00,6.032E-04
2300.00,5.064E-04
2350.00,4.264E-04
2400.00,3.601E-04
2450.00,3.045E-04
2500.00,2.577E-04
2550.00,2.184E-04
2600.00,1.860E-04
2650.00,1.583E-04
2700.00,1.350E-04
2750.00,1.151E-04
2800.00,9.881E-05
2850.00,8.442E-05
2900.00,7.282E-05
2950.00,6.233E-05
3000.00,5.374E-05
