m_x,br_gg,br_zz,xsec,exsec,xsec_br_zz,br_zz_lo,xsec_lo,xsec_br_lo_smw,xsec_br_nlo_smw
80.0,0.0009346,0.0,72.641,0.0019599,0.0,0.0,0.0,0.0,0.0
100.0,0.001618,0.0,49.0342,0.00128,0.0,0.0,0.0,0.0,0.0
120.0,0.0023028,0.0,34.955,0.00089069,0.0,0.0,0.0,0.0,0.0
140.0,0.0019991,0.0,25.9253,0.00064863,0.0,-1.0,-1.0,0.00129915,0.0027919200000000003
160.0,0.0005507,0.0,19.8169,0.00048885,0.0,-1.0,-1.0,0.000922902,0.00182469
180.0,0.0001085,0.0,15.5126,0.00037844,0.0,-1.0,-1.0,0.00124215,0.00238948
200.0,5.61e-05,0.0005872,12.3798,0.00046636999999999997,0.007269879999999999,0.0005872,6.27604,0.00362217,0.0069533699999999995
220.0,3.9e-05,0.0006407,10.0391,0.00044863,0.00643235,0.0006407,5.39113,0.00347399,0.00628471
240.0,2.89e-05,0.0006604,8.251565,0.00042003000000000006,0.005449740000000001,0.0006604,4.71683,0.0031708,0.005367370000000001
260.0,2.2e-05,0.0006726,6.8612,0.000380355,0.004614620000000001,0.0006726,4.20377,0.00290232,0.004560730000000001
280.0,1.72e-05,0.000682,5.76255,0.000337545,0.00393016,0.000682,3.82088,0.0026945700000000003,0.00388986
300.0,1.37e-05,0.00069,4.882385,0.000296525,0.00336869,0.00069,3.5525,0.00255186,0.00333516
320.0,1.09e-05,0.0006974,4.16874,0.0002594145,0.00290718,0.0006974,3.40251,0.00248561,0.0028769100000000003
340.0,7.9e-06,0.0007062,3.584035,0.0002267875,0.00253119,0.0007062,3.42941,0.0025375000000000003,0.0025021
360.0,5.2e-06,0.0006737,3.100435,0.00019851199999999997,0.0020886999999999998,0.0006737,3.84304,0.00252865,0.00206326
380.0,3.4e-06,0.0006278,2.6970650000000003,0.000174148,0.00169309,0.0006278,3.85112,0.00227924,0.00167075
400.0,2.2e-06,0.0005978,2.3580249999999996,0.000153201,0.0014096900000000001,0.0005978,3.58695,0.0019778400000000002,0.0013882
420.0,1.5e-06,0.0005794,2.071105,0.000135176,0.0012000900000000002,0.0005794,3.21507,0.00168936,0.00117827
