m_x,br_gg,br_zz,xsec,exsec,xsec_br_zz,br_zz_lo,xsec_lo,xsec_br_lo_smw,xsec_br_nlo_smw,xsec_pythia
100.0,0.001618,0.0,49.0342,0.00128,0.0,0.0,0.0,0.0,0.0,39.651842677255225
120.0,0.0023028,0.0,34.955,0.00089069,0.0,0.0,0.0,0.0,0.0,28.763665068428892
140.0,0.0019991,0.0,25.9253,0.00064863,0.0,-1.0,-1.0,0.00129915,0.00279192,22.57635453902975
160.0,0.0005507,0.0,19.8169,0.00048885,0.0,-1.0,-1.0,0.000922902,0.00182469,17.68504287205175
180.0,0.0001085,0.0,15.5126,0.00037844,0.0,-1.0,-1.0,0.00124215,0.00238948,14.521041601897313
200.0,5.61e-05,0.0005872,12.3798,0.0004663699999999,0.0072698799999999,0.0005872,6.27604,0.00362217,0.0069533699999999,12.249149356518155
220.0,3.9e-05,0.0006407,10.0391,0.00044863,0.00643235,0.0006407,5.39113,0.00347399,0.00628471,10.532776857099412
240.0,2.89e-05,0.0006604,8.251565,0.00042003,0.00544974,0.0006604,4.71683,0.0031708,0.00536737,9.397319036733956
260.0,2.2e-05,0.0006726,6.8612,0.000380355,0.00461462,0.0006726,4.20377,0.00290232,0.00456073,8.445606876680609
280.0,1.72e-05,0.000682,5.76255,0.000337545,0.00393016,0.000682,3.82088,0.00269457,0.00388986,7.990170521376732
300.0,1.37e-05,0.00069,4.882385,0.000296525,0.00336869,0.00069,3.5525,0.00255186,0.00333516,7.750643397820665
320.0,1.09e-05,0.0006974,4.16874,0.0002594145,0.00290718,0.0006974,3.40251,0.00248561,0.00287691,8.49407686145373
340.0,7.9e-06,0.0007062,3.584035,0.0002267875,0.00253119,0.0007062,3.42941,0.0025375,0.0025021,8.996598082406916
360.0,5.2e-06,0.0006737,3.100435,0.0001985119999999,0.0020886999999999,0.0006737,3.84304,0.00252865,0.00206326,8.502924903822198
380.0,3.4e-06,0.0006278,2.6970650000000003,0.000174148,0.00169309,0.0006278,3.85112,0.00227924,0.00167075,7.608443173324429
400.0,2.2e-06,0.0005978,2.358025,0.000153201,0.00140969,0.0005978,3.58695,0.00197784,0.0013882,6.484705110987945
420.0,1.5e-06,0.0005794,2.071105,0.000135176,0.00120009,0.0005794,3.21507,0.00168936,0.00117827,5.462044973609011
440.0,1e-06,0.0005688,1.826775,0.0001196415,0.00103898,0.0005688,2.81933,0.0014333199999999,0.00101626,4.621252977711435
460.0,7e-07,0.0005628,1.617515,0.000106218,0.000910377,0.0005628,2.44042,0.00121212,0.000886564,3.90476055454127
480.0,5e-07,0.0005602,1.437355,9.4583e-05,0.000805138,0.0005602,2.09619,0.0010241,0.000780208,3.1998288323533175
500.0,3e-07,0.0005597,1.281485,8.44645e-05,0.000717253,0.0005597,1.79252,0.00086549,0.000691281,2.749518586621811
520.0,2e-07,0.0005607,1.146025,7.5635e-05,0.000642533,0.0005607,1.52928,0.000731989,0.000615645,2.307726472354879
540.0,2e-07,0.0005624,1.02781,6.7903e-05,0.000578069,0.0005624,1.30352,0.00061965,0.000550413,1.9024761579581573
560.0,1e-07,0.0005648,0.924243,6.1113e-05,0.000521995,0.0005648,1.11116,0.000525286,0.000493721,1.604313860466774
580.0,1e-07,0.0005672,0.833188,5.51305e-05,0.000472625,0.0005672,0.947868,0.000445777,0.0004438869999999,1.358069381551144
600.0,1e-07,0.0005699,0.7528635,4.98455e-05,0.000429056,0.0005699,0.8095370000000001,0.000378931,0.000399991,1.1506164256322764
620.0,1e-07,0.0005726,0.6817815,4.51625e-05,0.000390413,0.0005726,0.692436,0.000322683,0.000361149,0.9754302434315989
640.0,1e-07,0.0005751,0.618691,4.10015e-05,0.000355829,0.0005751,0.593295,0.000275141,0.000326487,0.8167645681078634
660.0,1e-07,0.0005772,0.5625370000000001,3.7295e-05,0.000324675,0.0005772,0.509299,0.000234833,0.000295367,0.7035743190863041
680.0,2e-07,0.0005789,0.512426,3.3984e-05,0.000296647,0.0005789,0.438052,0.000200715,0.00026747,0.6027255388653385
700.0,2e-07,0.0005805,0.4675955,3.1021e-05,0.00027144,0.0005805,0.37753,0.000171853,0.000242476,0.5132991902321734
720.0,2e-07,0.0005815,0.4273945,2.83625e-05,0.000248531,0.0005815,0.326034,0.000147264,0.000219861,0.43525257725325084
740.0,2e-07,0.0005824,0.3912655,2.597215e-05,0.000227855,0.0005824,0.282137,0.000126415,0.000199541,0.379154042191503
760.0,2e-07,0.0005825,0.358727,2.381835e-05,0.000208946,0.0005825,0.244647,0.000108569,0.000181054,0.32037743129258794
780.0,3e-07,0.0005825,0.329364,2.18745e-05,0.00019185,0.0005825,0.212564,9.34112e-05,0.0001644239999999,0.2808052555762064
800.0,3e-07,0.0005819,0.302816,2.0116e-05,0.000176213,0.0005819,0.185056,8.0425e-05,0.0001493009999999,0.24246844149041408
820.0,3e-07,0.0005808,0.27877,1.85232e-05,0.000161898,0.0005808,0.1614199999999999,6.92887e-05,0.000135541,0.2081625894765169
840.0,3e-07,0.0005794,0.256952,1.707735e-05,0.000148873,0.0005794,0.141072,5.97747e-05,0.000123098,0.18089331988321145
860.0,3e-07,0.0005774,0.237123,1.576265e-05,0.000136921,0.0005774,0.123519,5.15935e-05,0.00011176,0.1612855854057649
880.0,3e-07,0.0005751,0.219073,1.45662e-05,0.0001259869999999,0.0005751,0.108346,4.45695e-05,0.00010146,0.13728881892568864
900.0,4e-07,0.0005723,0.2026165,1.3474850000000002e-05,0.00011595,0.0005723,0.0952054,3.85212e-05,9.20771e-05,0.12319103314512014
920.0,4e-07,0.0005691,0.1875925,1.247825e-05,0.000106761,0.0005691,0.083803,3.33206e-05,8.35552e-05,0.10814810069072762
940.0,4e-07,0.0005654,0.1738565,1.156715e-05,9.83052e-05,0.0005654,0.07389,2.88297e-05,7.57801e-05,0.09499159428512666
960.0,4e-07,0.0005614,0.1612805,1.073265e-05,9.05485e-05,0.0005614,0.0652562,2.49589e-05,6.87108e-05,0.0828297786282589
980.0,4e-07,0.000557,0.1497534999999999,9.9679e-06,8.34197e-05,0.000557,0.0577228,2.16161e-05,6.22745e-05,0.07350498587378204
1000.0,4e-07,0.0005542,0.1391735,9.26565e-06,7.71252e-05,0.0005542,0.0511379,1.88164e-05,5.66479e-05,0.06493010298664342
1100.0,6e-07,0.000744,0.0976741,6.5099e-06,7.26701e-05,0.000744,0.0285201,1.51162e-05,5.31011e-05,0.03575325624185742
1200.0,9e-07,0.0009723,0.06979565,4.65685e-06,6.786240000000001e-05,0.0009723,0.0164349,1.2147e-05,4.961e-05,0.020423640803884823
1300.0,1.2e-06,0.0012425,0.0506427,3.38285e-06,6.292590000000001e-05,0.0012425,0.00974476,9.77216e-06,4.61957e-05,0.012048583073492982
1400.0,1.6e-06,0.0015582,0.03723075,2.489875e-06,5.80143e-05,0.0015582,0.00592411,7.875570000000001e-06,4.28803e-05,0.0073571097984643135
1500.0,2e-06,0.0019229,0.0276837,1.853735e-06,-1.0,0.0019229,0.00368156,6.36109e-06,3.96837e-05,0.004562366609317064
1600.0,2.6e-06,0.0023399,0.0207909,1.3939300000000003e-06,-1.0,0.0023399,0.00233301,5.15084e-06,3.66237e-05,0.0028930376422700846
1700.0,3.1e-06,0.0028129,0.01575195,1.057505e-06,-1.0,0.0028129,0.00150436,4.182240000000001e-06,3.37126e-05,0.0018761159513936282
1800.0,3.8e-06,0.0033453,0.01202745,8.08585e-07,-1.0,0.0033453,0.000985254,3.4055000000000003e-06,3.09586e-05,0.001225567173196984
1900.0,4.6e-06,0.0039406,0.00924729,6.2254e-07,-1.0,0.0039406,0.0006543639999999,2.7811300000000003e-06,2.8366100000000003e-05,0.0008407508701546966
2000.0,5.4e-06,0.0046023,0.007153845,4.8234e-07,-1.0,0.0046023,0.0004401209999999,2.2779800000000003e-06,2.59366e-05,0.0005507524843759097
2100.0,6.3e-06,0.0053339,0.00556505,3.758e-07,-1.0,0.0053339,0.000299426,1.87141e-06,2.3669e-05,0.00038549498375343576
