m_x,xsec
90.0,79197951.84781204
95.0,66023058.12395559
100.0,53644843.58409932
105.0,46591736.18879262
110.0,39135491.514633596
115.0,33034655.283971846
120.0,28187553.36323982
125.0,24399393.15576463
130.0,21181227.394611754
135.0,18540146.69251719
140.0,16411768.229099588
145.0,14109642.642900884
150.0,12496506.606909487
155.0,11076454.190083377
160.0,9930900.430704227
165.0,8717077.529094696
170.0,7766131.655277079
175.0,7097095.749472855
180.0,6214502.359450541
185.0,5722282.61842154
190.0,5018755.731270055
195.0,4661006.079702908
200.0,4129824.594197714
205.0,3724721.3023742028
210.0,3456617.55099667
215.0,3201636.183104184
220.0,2901551.266843319
225.0,2635205.786903461
230.0,2399693.439950369
235.0,2205015.905603275
240.0,2034561.3579341613
245.0,1847991.2607261522
250.0,1734098.7644153289
255.0,1579097.242043076
260.0,1493339.1623920985
265.0,1365693.4067354442
270.0,1293971.6657788397
275.0,1160844.1788705275
280.0,1074051.036302741
285.0,1009443.6044812308
290.0,934440.2780930502
295.0,868304.1832125206
300.0,801697.03549939
305.0,749747.3609071036
310.0,726668.354385529
315.0,664068.6394560846
320.0,624551.6806225473
325.0,586180.4415626716
330.0,549539.2658505444
335.0,514121.97157024214
340.0,482066.6579534448
345.0,456379.37155754195
350.0,436467.0157859828
355.0,409291.28944752883
360.0,383575.4429362759
365.0,361909.33464628895
370.0,341427.73903894925
375.0,317246.3303317883
380.0,307622.9855161923
385.0,287348.157443033
390.0,273804.77897171635
395.0,252966.19368613436
400.0,240306.07296244218
405.0,230798.30628500704
410.0,221500.76544863704
415.0,202697.52040715734
420.0,195489.88307204875
425.0,186704.48435722527
430.0,177776.67335798073
435.0,168991.70170913872
440.0,163495.56961383772
445.0,155955.09092457785
450.0,147190.43121298504
455.0,139066.09131740424
460.0,133596.90358138192
465.0,124695.34782332293
470.0,122956.84425059496
475.0,116155.78680634181
480.0,110643.20011672613
485.0,108079.61431331187
490.0,102103.52215306065
495.0,98039.10989714388
500.0,92671.91487335821
510.0,85397.31738426878
520.0,77061.86971744621
530.0,70250.56217611834
540.0,64599.721707006305
550.0,59732.96137372917
560.0,55374.0725336617
570.0,50438.75156318538
580.0,47662.05269373897
590.0,43097.326598848245
600.0,41401.605512931485
610.0,37011.77294154471
620.0,34789.20216009058
630.0,31880.676882168453
640.0,30142.392074646083
650.0,27514.987347928338
660.0,25957.045395967
670.0,24509.9118168511
680.0,23119.879322270684
690.0,21221.689014508687
700.0,19636.68033001083
710.0,18512.141085916835
720.0,17358.54339852597
730.0,16137.828046489873
740.0,15252.614875533567
750.0,14097.04487037057
760.0,13472.145678866062
770.0,12421.827495707294
780.0,11961.304618412254
790.0,11133.04856117877
800.0,10292.760572469826
810.0,9874.540323757365
820.0,9185.788995073677
830.0,8742.128846329097
840.0,8205.129910158306
850.0,7808.287245653996
860.0,7304.954217070671
870.0,6788.706390289443
880.0,6512.388495898871
890.0,6134.830330594948
900.0,5711.685494354644
910.0,5491.619317860431
920.0,5179.640215908856
930.0,4864.93433843603
940.0,4641.290274899929
950.0,4373.398248017822
960.0,4216.24808158407
970.0,3953.139310341074
980.0,3803.8104227030635
990.0,3590.975854275306
1000.0,3431.826438063631
1010.0,3235.5675741714826
1020.0,3117.5346776315705
1030.0,2906.386248233376
1040.0,2817.718123375186
1050.0,2604.0210431541336
1060.0,2539.300371255087
1070.0,2390.537617110805
1080.0,2308.4137546556253
1090.0,2202.2717522932176
1100.0,2063.283806399224
1110.0,1975.5812637974439
1120.0,1907.8680577177938
1130.0,1806.4985598233345
1140.0,1742.5124938971178
1150.0,1657.3134060891186
1160.0,1597.9251368965279
1170.0,1528.8078439674696
1180.0,1452.9920420702504
1190.0,1389.2301148173433
1200.0,1342.2736082662705
1210.0,1289.8529418912017
1220.0,1227.8425785468644
1230.0,1172.4119751118988
1240.0,1100.0555939451824
1250.0,1072.7775945953613
1260.0,1018.5930153655665
1270.0,982.174442198611
1280.0,937.8700316469183
1290.0,879.3234855653957
1300.0,869.3881905775092
1310.0,839.0197549417898
1320.0,798.6698099353954
1330.0,752.1229193276897
1340.0,736.7593150366971
1350.0,716.6345903724628
1360.0,679.9714270936072
1370.0,636.9381827365524
1380.0,623.9432546686941
1390.0,596.5910790571111
1400.0,582.2117500518572
1410.0,561.7604026165579
1420.0,541.9694848680207
1430.0,518.9442269817187
1440.0,499.27944526077863
1450.0,479.13772147458695
1460.0,456.40548360734965
1470.0,442.3111532832552
1480.0,425.9634340636722
1490.0,410.9345856961085
1500.0,403.1311025374052
1510.0,380.8771566633705
1520.0,362.3696509384479
1530.0,358.0594775542469
1540.0,337.09460343188096
1550.0,327.15004717759155
1560.0,315.40576101101954
1570.0,303.78032003539414
1580.0,295.0880889641302
1590.0,283.8127651950276
1600.0,272.2276937107509
1610.0,264.87596276979394
1620.0,257.61894651687885
1630.0,244.7356270065322
1640.0,234.8548960636878
1650.0,227.42592402566748
1660.0,222.0388736435535
1670.0,212.7692050459102
1680.0,208.73471106767087
1690.0,198.73978326060615
1700.0,190.9364593582279
1710.0,184.40999213761194
1720.0,178.29388024949768
1730.0,173.67215997119376
1740.0,169.80837179884014
1750.0,164.88366473250346
1760.0,154.60409293274807
1770.0,154.30572669024542
1780.0,148.6389412720355
1790.0,140.74771929729897
1800.0,135.37442552789446
1810.0,131.7991230406535
1820.0,129.2306506767919
1830.0,123.246287647786
